,119,,Building Break Down,Rack Turn-Down,Rack Turn-Up,Total Racks Per Building,,,,,,,,,,,,,,,,,,,,,,
Racks In Position,63,,ATN1,3,2,5,,,Color Guide,,,,,,,,,,,,,,,,,,,
Racks Pending Position,51,,ATN2,8,0,8,,,ISSUE,,,,,,,,,,,,,,,,,,,
SLC Completed,46,,ATN3,64,0,64,,,HIGH-PRI ,,,,,,,,,,,,,,,,,,,
Racks Pending L2+ Audit Completion,54,,ATN4,0,0,0,,,Good/Completed,,,,,,,,,,,,,,,,,,,
Work % Complete,45.40%,,ATN5,2,10,12,,,,,,,,,,,,,,,,,,,,,,
,,,ATN6,42,2,44,,,,,,,,,,,,,,,,,,,,,,
,,,ATN7,0,97,97,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team #,Set or Decom ,Type of Move,Rack SN,From Data Center,Rack Source Location,V ,To Data Center,Rack Final Destination,QR Code for Destination,Un-set / Un-Level / Recontain Complete (DECOM),In Position (Rack Delivered to Final Position (IBOS),SLC (SET),L2+ Audit Complete (IBOS),Notes,Issue Tracker,,Time Stamp,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50187091,ATN3,ATN3.3A.16B.10,,ATN7,ATN7.7A.26.10,,TRUE,TRUE,FALSE,FALSE,"Decom, IBOS Move, Set",,Moved 2/18,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50403169,ATN6,ATN6.6A.09F.23,,ATN7,ATN7.7A.16.17,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,Need un-set to be moved at later date,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50416072,ATN6,ATN6.6A.17F.24,,ATN7,ATN7.7A.23.22,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,Need un-set to be moved at later date,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50416000,ATN6,ATN6.6A.19F.24,,ATN7,ATN7.7A.09.11,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,Need un-set to be moved at later date,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50415967,ATN6,ATN6.6A.30F.23,,ATN7,ATN7.7A.64.32,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,Need un-set to be moved at later date,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50400073,ATN6,ATN6.6B.08F.22,,ATN7,ATN7.7A.58.03,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,Need un-set to be moved at later date,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50307218,ATN6,ATN6.6B.10F.13,,ATN7,ATN7.7A.54.38,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,Need un-set to be moved at later date,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50417080,ATN6,ATN6.6B.13B.05,,ATN7,ATN7.7A.08.36,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,Need un-set to be moved at later date,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,11661101,ATN6,ATN6.6B.14B.10,,ATN7,ATN7.7A.58.09,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,Need un-set to be moved at later date,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50400081,ATN6,ATN6.6B.14B.14,,ATN7,ATN7.7A.58.06,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,Need un-set to be moved at later date,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50282464,ATN6,ATN6.6B.16F.23,,ATN7,ATN7.7A.54.12,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,Need un-set to be moved at later date,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50307776,ATN6,ATN6.6B.19F.12,,ATN7,ATN7.7A.06.15,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,Need un-set to be moved at later date,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,11661081,ATN6,ATN6.6B.21F.23,,ATN7,ATN7.7A.67.30,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,Need un-set to be moved at later date,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,11689023,ATN6,ATN6.6B.22B.20,,ATN7,ATN7.7A.08.24,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,Need un-set to be moved at later date,,,,,,,,,,,,L
Milestone,Decom and Set,Rack Move,50282782,ATN6,ATN6.6B.23B.07,,ATN7,ATN7.7A.58.11,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,Need un-set to be moved at later date,,,,,,,,,,,,
